 No. of Threads, Time Taken in Microseconds,N
1,17,1000
2,24,1000
3,36,1000
4,46,1000
5,52,1000
6,56,1000
7,61,1000
8,66,1000
9,72,1000
10,86,1000
11,95,1000
12,103,1000
13,105,1000
14,112,1000
15,116,1000
16,123,1000
1,17,2000
2,25,2000
3,36,2000
4,46,2000
5,52,2000
6,56,2000
7,61,2000
8,66,2000
9,71,2000
10,83,2000
11,95,2000
12,98,2000
13,103,2000
14,109,2000
15,118,2000
16,124,2000
1,19,3000
2,27,3000
3,39,3000
4,47,3000
5,53,3000
6,56,3000
7,62,3000
8,66,3000
9,71,3000
10,83,3000
11,94,3000
12,102,3000
13,107,3000
14,110,3000
15,117,3000
16,126,3000
1,22,4000
2,29,4000
3,42,4000
4,48,4000
5,54,4000
6,57,4000
7,62,4000
8,67,4000
9,72,4000
10,80,4000
11,94,4000
12,102,4000
13,107,4000
14,114,4000
15,125,4000
16,134,4000
1,24,5000
2,32,5000
3,43,5000
4,49,5000
5,55,5000
6,59,5000
7,65,5000
8,71,5000
9,77,5000
10,87,5000
11,96,5000
12,102,5000
13,108,5000
14,116,5000
15,122,5000
16,136,5000